,name,host_name,host_location,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,latitude,property_type,accommodates,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews_ltm,last_review,review_scores_cleanliness,review_scores_location,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
2827,Cosie Room for 1/2 persons,Léa,"Berkeley, CA",,f,1.0,f,45.75392,Private room in rental unit,2,,,3,1,3,3.0,0,0,0,2017-12-09,5.0,5.0,f,0,0
2828,"Chambre pour 2 personnes, Pentes de Croix-Rousse",Jules,"Lyon, France",,f,1.0,f,45.7727,Private room in rental unit,2,,,1125,1,1125,1125.0,0,0,0,2018-12-09,5.0,5.0,t,0,0
2829,modern and bright T2 on top floor - Open view,Galaad,"Lyon, France",within an hour,f,1.0,t,45.73197,Entire rental unit,2,1.0,72.0,7,2,7,7.0,58,88,8,2024-11-20,4.82,4.48,f,1,0
2830,Les terrasses de fourvière,Bridget,"Lyon, France",,f,2.0,t,45.76803,Private room in rental unit,2,,,7,3,7,7.0,0,0,0,2018-05-27,3.0,5.0,f,0,0
2831,2 couchages au cœur de Lyon sur canapé lit,Marion,"Lyon, France",within an hour,t,4.0,t,45.76026,Private room in rental unit,2,1.0,30.0,50,1,50,50.0,6,6,21,2024-12-08,4.58,4.93,t,0,0
2832,2 couchages au cœur de Lyon,Marion,"Lyon, France",within an hour,t,4.0,t,45.76235,Private room in rental unit,2,1.0,30.0,1125,1,1125,1125.0,1,1,30,2024-12-08,4.54,4.96,t,0,0
2833,T2 avec vue à louer pour la fête des lumières,Bridget,"Lyon, France",,f,2.0,t,45.76653,Private room in rental unit,2,,,1125,1,1125,1125.0,0,0,0,,,,f,0,0
2834,App lyon proche bellecour idéal fête des lumières,Florian,"Lyon, France",,f,1.0,t,45.7321,Entire rental unit,5,2.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2835,Chambre privée dans un quartier calme proche métro,Elisa,"Lyon, France",,f,1.0,t,45.73374,Private room in rental unit,2,,,2,1,2,2.0,0,0,0,,,,f,0,0
2836,Chambre à louer à Part-Dieu,Marion,"Trets, France",,f,1.0,t,45.7564,Private room in rental unit,1,,,1125,1,1125,1125.0,0,0,0,2017-12-16,4.33,4.67,t,0,0
2837,STUDIO HYPERCENTRE Lyon Fête des Lumières,Salomé,"Arles, France",,f,1.0,t,45.76997,Entire rental unit,2,,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2838,Charmant studio idéalement situé place Bellecour !,Nelly,"Pertuis, France",,f,1.0,t,45.75758,Entire rental unit,4,,,1125,365,1125,1125.0,0,0,0,2018-02-26,5.0,5.0,f,1,0
2839,Studio 40m2 - métro garibaldi (calme & proche C.V),Olivia,"Lyon, France",,f,1.0,f,45.75001,Entire rental unit,2,,,1125,365,1125,1125.0,0,0,0,2021-06-29,4.43,4.86,f,1,0
2840,Appartement au cœur de Lyon,Paul,"Belfort, France",,f,1.0,f,45.75347,Shared room in rental unit,4,,,4,1,4,4.0,0,0,0,,,,t,0,1
2841,Your perfect place for th Fête des Lumières,Aloise,"Lyon, France",,f,1.0,t,45.75249,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2019-04-28,5.0,4.83,t,1,0
2842,Chambre spacieuse à proximité du centre-ville,Emma,"Lyon, France",,f,1.0,t,45.7576,Private room in condo,2,,,3,1,3,3.0,0,0,0,,,,t,0,0
2843,Chambre en plein coeur de Lyon,Adeline,"Lyon, France",,f,1.0,f,45.75142,Private room in rental unit,2,,,3,2,3,3.0,0,0,0,,,,t,0,0
